Płeć,Wiek,Wykształcenie,Średnie Zarobki,Czas Początkowy Podróży,Czas Końcowy Podróży,Cel Podróży
Mężczyzna,69.0,Średnie,6498.37,21:53,00:31,Inne
Kobieta,42.0,Średnie,12640.05,16:20,02:49,Praca
Mężczyzna,51.0,Średnie,14166.39,09:11,09:53,Zakupy
Kobieta,58.0,Podstawowe,13258.78,16:13,02:27,Praca
Mężczyzna,44.0,Średnie,9723.78,15:25,17:58,Rozrywka
Mężczyzna,70.0,Podstawowe,10098.2,15:13,17:40,Zakupy
Mężczyzna,43.0,Wyższe,3921.12,07:21,08:02,Praca
Mężczyzna,52.0,Wyższe,13293.29,23:57,05:15,Rozrywka
Kobieta,53.0,Wyższe,11532.87,05:18,12:51,Praca
Kobieta,21.0,Średnie,10132.12,13:19,13:31,Inne
Mężczyzna,42.0,Wyższe,4227.48,09:09,12:24,Inne
Mężczyzna,53.0,Wyższe,6010.92,06:53,16:34,Edukacja
Kobieta,18.0,Podstawowe,4105.94,07:00,10:20,Zakupy
Kobieta,35.0,Wyższe,14885.08,12:50,22:34,Inne
Kobieta,33.0,Średnie,7578.08,07:27,20:17,Rozrywka
Mężczyzna,59.0,Wyższe,9518.18,07:45,11:36,Inne
Kobieta,66.0,Wyższe,14623.47,07:01,13:59,Edukacja
Kobieta,33.0,Wyższe,4741.1,18:43,02:43,Rozrywka
Mężczyzna,45.0,Średnie,3163.79,07:18,09:38,Zakupy
Kobieta,49.0,Wyższe,7350.97,22:57,22:21,Praca
Mężczyzna,18.0,Średnie,10677.22,17:52,23:43,Inne
Kobieta,58.0,Wyższe,4615.56,10:29,16:10,Inne
Mężczyzna,18.0,Średnie,11438.42,23:04,06:47,Zakupy
Kobieta,43.0,Podstawowe,6248.45,14:40,19:10,Praca
Kobieta,54.0,Średnie,7652.59,18:26,02:32,Inne
Mężczyzna,32.0,Średnie,12395.9,22:21,23:39,Inne
Mężczyzna,36.0,Średnie,13051.51,19:46,06:03,Praca
Mężczyzna,69.0,Podstawowe,13530.43,07:43,16:14,Edukacja
Mężczyzna,50.0,Średnie,10837.04,22:29,08:13,Zakupy
Kobieta,21.0,Średnie,8023.41,12:39,14:13,Rozrywka
Mężczyzna,63.0,Średnie,6437.61,08:17,09:44,Inne
Kobieta,48.0,Podstawowe,4302.78,19:36,01:30,Rozrywka
Kobieta,31.0,Średnie,9937.05,05:14,10:20,Praca
Kobieta,56.0,Wyższe,11538.03,08:27,12:19,Inne
Kobieta,19.0,Średnie,6016.02,09:08,14:03,Rozrywka
Mężczyzna,68.0,Średnie,8956.96,06:07,08:13,Zakupy
Kobieta,41.0,Wyższe,6820.59,10:34,18:43,Rozrywka
Kobieta,69.0,Wyższe,14250.91,16:11,16:02,Zakupy
Kobieta,47.0,Podstawowe,9096.48,12:19,19:33,Zakupy
Kobieta,53.0,Wyższe,7422.58,07:37,13:45,Inne
Kobieta,37.0,Średnie,8941.4,19:06,23:29,Zakupy
Kobieta,63.0,Wyższe,14863.29,23:30,04:19,Praca
Mężczyzna,66.0,Podstawowe,10174.06,08:19,11:01,Praca
Mężczyzna,33.0,Średnie,4493.59,15:57,00:48,Zakupy
Mężczyzna,49.0,Podstawowe,10726.44,15:23,18:54,Edukacja
Mężczyzna,28.0,Średnie,3333.89,18:54,03:48,Inne
Kobieta,34.0,Średnie,13163.76,22:01,03:36,Praca
Kobieta,28.0,Wyższe,6787.36,23:55,00:13,Rozrywka
Kobieta,65.0,Średnie,13809.18,07:21,10:04,Rozrywka
Mężczyzna,50.0,Średnie,8913.03,05:33,12:52,Zakupy
Mężczyzna,57.0,Wyższe,4426.86,22:21,06:47,Inne
Kobieta,39.0,Średnie,5339.02,05:02,08:42,Edukacja
Mężczyzna,59.0,Średnie,3058.75,12:53,16:52,Zakupy
Kobieta,18.0,Podstawowe,10332.73,20:27,07:58,Praca
Kobieta,43.0,Wyższe,3211.44,16:18,02:32,Zakupy
Mężczyzna,50.0,Średnie,5988.72,06:25,16:47,Zakupy
Mężczyzna,58.0,Średnie,4129.77,06:06,14:32,
Kobieta,27.0,Wyższe,7771.78,12:19,23:42,Praca
Mężczyzna,23.0,Wyższe,11593.35,08:44,15:43,Zakupy
Mężczyzna,38.0,Podstawowe,11916.84,11:42,17:01,Edukacja
Kobieta,67.0,Podstawowe,10599.08,16:24,19:24,Edukacja
Mężczyzna,25.0,Średnie,9701.95,15:58,19:51,Zakupy
Kobieta,65.0,Wyższe,9835.04,12:08,12:39,Edukacja
Mężczyzna,28.0,Średnie,5667.44,06:42,06:37,Praca
Kobieta,39.0,Wyższe,11364.1,17:12,17:11,Inne
Kobieta,,Wyższe,7625.39,19:38,04:32,Rozrywka
Kobieta,68.0,Podstawowe,6186.93,05:05,15:08,Rozrywka
Mężczyzna,62.0,Podstawowe,9268.24,17:48,19:37,Praca
Kobieta,50.0,Wyższe,10038.74,22:01,07:50,Edukacja
Kobieta,69.0,Średnie,6841.14,13:06,19:09,Praca
Kobieta,54.0,Wyższe,5394.58,05:39,07:27,Rozrywka
Mężczyzna,24.0,Średnie,5968.39,05:15,07:52,Rozrywka
Mężczyzna,69.0,Wyższe,13944.16,09:36,18:10,Inne
Mężczyzna,46.0,Wyższe,6472.78,10:03,18:07,Praca
Kobieta,44.0,Podstawowe,11933.72,18:14,20:36,Inne
Kobieta,26.0,Wyższe,9364.81,21:04,00:20,Zakupy
Kobieta,47.0,Wyższe,14841.17,18:15,01:42,Rozrywka
Mężczyzna,67.0,Podstawowe,3442.42,22:46,23:17,Edukacja
,68.0,Podstawowe,14353.93,23:58,02:17,Inne
Mężczyzna,64.0,Wyższe,4265.14,09:39,20:07,Edukacja
Mężczyzna,47.0,Średnie,5315.72,09:41,18:50,
Mężczyzna,64.0,Wyższe,5771.86,15:20,19:46,Rozrywka
Kobieta,20.0,Wyższe,6501.39,14:19,16:18,Praca
Kobieta,35.0,,14536.05,19:02,05:43,Rozrywka
Mężczyzna,20.0,Podstawowe,10663.28,23:25,02:59,Praca
Kobieta,60.0,Podstawowe,6808.4,13:22,21:58,Zakupy
Mężczyzna,19.0,Wyższe,12039.5,12:51,16:30,Edukacja
Kobieta,33.0,Średnie,13880.91,06:51,11:33,Zakupy
Kobieta,21.0,Średnie,7133.18,10:55,18:16,Praca
Mężczyzna,68.0,Wyższe,10859.6,09:22,16:26,Rozrywka
Kobieta,19.0,Średnie,7828.49,08:45,17:30,Rozrywka
Mężczyzna,39.0,Wyższe,11029.83,22:44,08:38,Rozrywka
Mężczyzna,34.0,Podstawowe,11696.38,22:15,01:42,Zakupy
Kobieta,37.0,Średnie,13084.3,13:14,19:28,Praca
Mężczyzna,51.0,Średnie,3967.11,22:56,01:41,Inne
Kobieta,67.0,Wyższe,7651.09,15:01,20:48,Edukacja
Kobieta,45.0,Podstawowe,13650.48,06:24,06:19,Rozrywka
Kobieta,18.0,Średnie,6386.38,13:04,20:25,Praca
Kobieta,42.0,Podstawowe,13094.23,09:45,12:10,Rozrywka
Kobieta,63.0,Wyższe,14798.06,28:19,09:56,Rozrywka
Mężczyzna,63.0,Średnie,8008.13,22:02,03:06,Zakupy
Mężczyzna,30.0,Średnie,9222.38,12:04,12:15,Edukacja
Kobieta,64.0,Średnie,3238.61,22:35,05:11,Edukacja
Kobieta,38.0,Wyższe,4096.68,10:18,14:10,Inne
Kobieta,69.0,Średnie,9469.27,09:30,11:40,Rozrywka
Kobieta,46.0,Średnie,12245.59,14:41,18:50,Zakupy
Mężczyzna,34.0,Podstawowe,10604.03,10:40,10:31,Inne
Mężczyzna,39.0,Podstawowe,10085.12,05:08,15:40,Rozrywka
Kobieta,53.0,Wyższe,13995.77,19:54,22:37,Praca
Mężczyzna,58.0,Wyższe,4564.44,10:38,12:49,Edukacja
Kobieta,61.0,Średnie,6657.28,13:18,15:25,Inne
Mężczyzna,47.0,Podstawowe,7926.84,22:37,09:14,Rozrywka
Mężczyzna,57.0,Średnie,12250.11,14:23,14:00,Zakupy
Kobieta,45.0,Wyższe,8724.66,07:21,17:41,Edukacja
Mężczyzna,53.0,Wyższe,7255.3,19:10,03:01,Rozrywka
Kobieta,52.0,Średnie,4187.34,23:06,01:33,Edukacja
Kobieta,45.0,Podstawowe,9719.73,20:25,06:42,Edukacja
Kobieta,53.0,Wyższe,14512.72,09:35,12:01,Edukacja
,,,,,02:53,Zakupy
Mężczyzna,51.0,Podstawowe,4678.73,23:20,10:48,Praca
Kobieta,55.0,Podstawowe,12907.48,05:11,13:52,Edukacja
Kobieta,55.0,Wyższe,13070.48,09:06,15:08,Zakupy
,44.0,Średnie,13243.63,21:55,23:56,Edukacja
Mężczyzna,42.0,Wyższe,5866.52,22:03,06:01,Zakupy
Mężczyzna,22.0,Wyższe,4891.45,18:49,23:46,Zakupy
Kobieta,70.0,Wyższe,11629.85,20:08,04:59,Edukacja
Mężczyzna,52.0,Średnie,13057.85,19:19,00:25,Zakupy
Kobieta,20.0,Podstawowe,3918.28,23:37,03:24,Praca
Kobieta,60.0,Wyższe,8791.93,17:46,04:03,Edukacja
Kobieta,33.0,Średnie,4944.91,22:34,03:05,Zakupy
Kobieta,41.0,Podstawowe,8796.01,21:42,03:45,Zakupy
Kobieta,53.0,Średnie,3927.92,19:00,02:00,Rozrywka
Mężczyzna,48.0,Wyższe,11101.35,22:13,23:15,Inne
Mężczyzna,39.0,Średnie,12324.56,09:32,20:04,Praca
Mężczyzna,33.0,Średnie,13432.03,22:22,23:33,Praca
Kobieta,35.0,Podstawowe,10155.66,05:01,10:43,Praca
Kobieta,70.0,Wyższe,7449.64,18:03,18:22,Edukacja
,,Średnie,,,,Rozrywka
Kobieta,18.0,Średnie,7839.91,15:33,18:47,Inne
Mężczyzna,47.0,Wyższe,8642.49,19:36,00:17,Zakupy
Mężczyzna,57.0,Średnie,5610.5,17:30,03:55,Edukacja
Kobieta,37.0,Wyższe,6505.42,14:13,17:27,Edukacja
Kobieta,65.0,Podstawowe,3071.89,13:54,18:23,Edukacja
Kobieta,28.0,Średnie,14999.39,14:51,16:41,Zakupy
Kobieta,19.0,Wyższe,11384.93,14:17,20:34,Zakupy
Kobieta,41.0,Średnie,4568.91,15:29,17:11,Inne
Kobieta,37.0,Średnie,9924.28,22:53,02:17,Praca
Kobieta,36.0,Podstawowe,4868.16,13:03,22:27,Inne
Kobieta,68.0,Wyższe,12801.79,09:17,15:46,Praca
Kobieta,40.0,Podstawowe,6874.33,09:57,20:59,Rozrywka
Mężczyzna,37.0,Średnie,7353.6,10:34,18:31,Zakupy
Kobieta,56.0,Średnie,8242.4,23:21,09:06,Edukacja
Mężczyzna,54.0,Średnie,12859.4,20:51,20:20,Praca
Kobieta,57.0,Średnie,11269.34,18:37,01:15,Rozrywka
Kobieta,23.0,Podstawowe,13773.86,19:43,03:19,Edukacja
,51.0,,,,,Praca
Kobieta,41.0,Średnie,3959.47,21:34,08:40,Edukacja
Kobieta,47.0,Średnie,5170.89,16:36,17:56,Inne
Mężczyzna,40.0,Średnie,10217.22,05:09,14:13,Inne
Kobieta,66.0,Wyższe,4676.82,18:03,05:16,Edukacja
Mężczyzna,54.0,Wyższe,3960.81,13:47,21:34,Rozrywka
Kobieta,48.0,Wyższe,7618.13,14:21,16:56,Edukacja
Mężczyzna,45.0,Podstawowe,6778.1,23:02,03:18,Rozrywka
Mężczyzna,66.0,Średnie,8704.88,19:42,20:41,Zakupy
Kobieta,59.0,Średnie,9906.23,07:05,13:33,Praca
Kobieta,26.0,Średnie,8835.53,10:28,17:24,Inne
Kobieta,41.0,Średnie,3772.31,09:29,15:10,Inne
Kobieta,23.0,Podstawowe,10247.3,22:35,23:07,Rozrywka
Kobieta,68.0,Podstawowe,14557.88,23:38,01:23,Praca
Mężczyzna,66.0,Średnie,7325.79,19:50,00:08,Edukacja
